source,externalId,name,address,latitude,longitude,city,country,email,website,logo,secondaryUrl,images,industry,description
helfenberlin,,Gainsbourg Bar,"Jeanne-Mammen-Bogen 576/577, 10623 Berlin",52.504729,13.3246689,Berlin,Germany,,,,https://helfen-shop.berlin/dein-unternehmen/gainsbourg-bar/,https://helfen-shop.berlin/wp-content/uploads/2020/03/728b0069-e480-492b-b30d-04bbf52fdd79.jpeg,,Think positiv
helfenberlin,,"TapBeat, International Tap Dance Center","Jeanne-Mammen-Bogen 580-581, 10623 Berlin",52.5047245,13.3237073,Berlin,Germany,,,,https://helfen-shop.berlin/dein-unternehmen/tapbeat-international-tap-dance-center/,https://helfen-shop.berlin/wp-content/uploads/2020/03/160fc9dd-0889-4051-8a2c-113f4bd31948.jpg,,"Wir sind einen Tanzstudio mit Schwerpunkt Tap Dance (Stepptanz). Wegen der Schließung befinden wir uns in extreme finanziellen Not, da Einnahmen ausfallen. Neue Kurse, Workshops, neue Schüler fallen aus. Um die laufende Kosten (Miete, Lehrerhonorare usw.) weiter zahlen zu können, wäre wir herzlich dankbar für jede Hilfe."
helfenberlin,,Viticula Wein&Feinkost,"Rudolf-Breitscheid-Allee 95, 15366 Berlin",52.5226921,13.677947,Berlin,Germany,,,,https://helfen-shop.berlin/dein-unternehmen/viticula-weinfeinkost/,https://helfen-shop.berlin/wp-content/uploads/2020/03/8f236327-1ea5-44fd-bfab-6f4954e0b2d0-scaled.jpg,,Kleines Café am Rande Berlins.
helfenberlin,,GENUSSWANDEL,"Brandenburgische Strasse 27, 12159 Berlin",52.4976276,13.308121,Berlin,Germany,,,,https://helfen-shop.berlin/dein-unternehmen/genusswandel/,https://helfen-shop.berlin/wp-content/uploads/2020/03/6a198dce-c2af-42b6-9c78-1c59056d024a.jpg,,"Gönn’ dir deine ganzheitliche, individuelle Begleitung bei Gewichtsreduktion und Ernährungsumstellung"
helfenberlin,,Sportshop Fairplay,"Johannisthaler Chaussee 425, 12351 Berlin",52.4240483,13.4408534,Berlin,Germany,,,,https://helfen-shop.berlin/dein-unternehmen/sportshop/,https://helfen-shop.berlin/wp-content/uploads/2020/03/Bild-Helfen.berlin.png,,"Dein Teamsport und Sneaker Store, wir bedrucken eure Shirts und vieles mehr"
helfenberlin,,HAARWERKSTATT – Friedrich-Ebert-Str. 27/28,"Friedrich-Ebert-Str. 27/28, 14467 Potsdam",52.4028176,13.0580926,Potsdam,Germany,,,,https://helfen-shop.berlin/dein-unternehmen/haarwerkstatt-friedrich-ebert-str-27-28/,https://helfen-shop.berlin/wp-content/uploads/2020/03/Salon-Potsdam.jpg,,WIR SAGEN DANKE!
helfenberlin,,Café Krümelkeks / Eiscafé,"Aller der Kosmonauten 151F, 12685 Berlin",52.53481,13.5517,Berlin,Germany,,,,https://helfen-shop.berlin/dein-unternehmen/cafe-kruemelkeks-eiscafe/,https://helfen-shop.berlin/wp-content/uploads/2020/03/64081fd7-16df-4923-91b0-c6b7126d605a.jpeg,,Kommt auf ein leckeres Eis oder hausgemachten Kuchen vorbei.
helfenberlin,,19grams,"Karl-Liebknecht-Strasse 13, 10178 Berlin",52.5224943,13.4074279,Berlin,Germany,,,,https://helfen-shop.berlin/dein-unternehmen/19grams/,https://helfen-shop.berlin/wp-content/uploads/2020/03/15f754ee-3753-4568-8986-203a6446e1f4.jpg,,"Durch die Coronavirus Krise mussten wir all unsere 19grams Cafés schließen und leider auch für unsere über 50 Baristas Kurzarbeit beantragen. Wir versuchen alles, um die Menschen, die uns geholfen haben unsere kleine Specialty Coffee Welt aufzubauen so lange wie möglich bei uns zu halten und so weit es geht zu bezahlen. Mittlerweile hängt unser ganzes Geschäft an unserem Online Shop und wir freuen uns wahnsinnig, wenn ihr uns unterstützt."
helfenberlin,,Zur Glocke Restaurant,"Mecklenburgische Straße 14, 10713 Berlin",52.4821477,13.3158565,Berlin,Germany,,,,https://helfen-shop.berlin/dein-unternehmen/zur-glocke-restaurant/,https://helfen-shop.berlin/wp-content/uploads/2020/03/Zur-Glocke-Restaurant-_230320.jpg,,Unterstützung für die Glocke
helfenberlin,,Café Desd,"Schulzendorfer Strasse 13, 13347 Berlin",52.5401707,13.3753938,Berlin,Germany,,,,https://helfen-shop.berlin/dein-unternehmen/cafe-desd/,https://helfen-shop.berlin/wp-content/uploads/2020/03/6b505899-faf1-4eeb-a491-13ea80f28dbd.jpeg,,"Kaffee, Kuchen, Quiche, Sandwiches, Backwaren"
