"Original Line","Latitude","Longitude","StandardCivicNumber","StandardAddress","StandardCity","StandardStateorProvinceAbbrv","PostalZip","Confidence"
"394b2749-98dc-4e33-aec3-ecabcc548a45,Breite Str. 29, 23769 Fehmarn, Germany","54.43583","11.19713","50","Breite Strasse","Fehmarn","DE","23769","0.5"
"16ccb3b1-c8bb-44f7-9def-655cdfb5c46d,Bachgasse 20a, 94405 Landau, Germany","49.19712","8.11430","6","Bachgasse","Landau","DE, DE","76829","0.5"
"9b2aaf7a-b63a-4063-88ee-dc4f44993b1a,Willy-Brandt-Allee 31a, 23554 L�beck, Germany","53.87228","10.67866","45","Willy-Brandt-Allee","Lübeck","DE, DE","23554","0.6"
"5eb84fa7-f614-4426-a944-44986dd9db12,Annakirchstrasse 63, 41063 Monchengladbach, Germany","51.20507","6.41187","63","Annakirchstrasse","Mönchengladbach","DE, DE","41063","0.6"
"b4870e5f-a937-41b3-a521-ce1c07012f30,Osterland 15, 31832 Springe, Germany","52.23938","9.66046","15","Osterland","Springe","DE, DE","","0.6"
"aa9fcc0c-c566-4e0c-8d86-2465f6876075,Marburger Str. 14, 10789 Berlin, Germany","52.50256","13.33686","14","Marburger Straße","Berlin","DE, DE","10789","0.4"
"e3f83d7c-d8d7-402a-9208-00a254b2771a,Holteistr. 18, 10245 Berlin, Germany","52.50922","13.46716","18","Holteistraße","Berlin","DE","10245","0.3"
"8b266bb2-c7a4-46c7-8f3a-3f9ce3b33392,Lise-Meitner-Stra�e 6, 24223 Schwentinental, Germany","54.29066","10.22664","6","Lise-Meitner-Strasse","Schwentinental","DE","24223","0.7"
"a8d572b3-1e5a-468e-a0a1-a7f99b860b4f,Oldenburger Str. 66, 26676 Elisabethfehn, Germany","53.12626","7.74265","","","Elisabethfehn","DE","","0.133333333333333"
"c9bdb0f6-b146-4d17-8370-6e616895c394,Oggauer Strasse 25, 7071 Rust, Germany","48.26471","7.72734","","","Rust","DE","","0.1"
"cd715243-bd91-429d-b278-1c62be40047c,Wilhelm-Raabe-Stra�e 11, 38315 Schladen, Germany","52.00542","10.52279","","","Schladen","DE","","0.1"
"23b9f6e1-d166-4c68-8689-1125df21b519,Alte Poststr. 7, 27404 Zeven, Germany","53.29593","9.27543","2","Alte Poststrasse","Zeven","DE","27404","0.6"
"09897066-7888-4a78-813c-c73cd66f8411,Wupperstra�e, 40219 D�sseldorf, Germany","51.21501","6.7576","6","Wupperstrasse","Düsseldorf","DE, DE","40219","0.7"
"bb048fdb-c770-48e0-8656-fde169b09708,Magdeburger Allee 129, 99086 Erfurt, Germany","50.99503","11.02549","129","Magdeburger Allee","Erfurt","DE, DE","99086","0.7"
"631fc6fd-aae4-442d-afe5-de171e927374,Walpodenstra�e 1, 55116 Mainz, Germany","49.99761","8.26592","2","Walpodenstrasse","Mainz","DE, DE","55116","0.7"
"fb5f4663-7e41-49d1-b053-b296438a2009,Hafenstr. 1, 26506 Norden-Norddeich, Germany","53.62105","7.15784","1","Hafenstraße","Norden","DE, DE","","0.4"
"15586de0-9bc8-4fb8-8704-dba11d0232bb,Hardenbergstr. 20, 10623 Berlin, Germany","52.50701","13.32989","20","Hardenbergstraße","Berlin","DE, DE","10623","0.4"
"32e28303-103d-4476-b1c7-a73a7655603b,Kronenstra�e 1b, 66111 Saarbr�cken, Germany","49.23196","6.99699","14","Kronenstrasse","Saarbrücken","DE","66111","0.6"
"2cdc2506-7b30-412e-80cf-8772795bfa9a,Badestra�e 7c, 26506 Norden-Norddeich, Germany","53.60775","7.14821","","","Norden-Norddeich","DE","","0.2"
"593d40fc-4c26-4e4d-96ee-7b4ba3343715,Scheidterstrasse 12, 66125 Saarbr�cken, Germany","49.23893","7.01028","12","Scheidter Strasse","Saarbrücken","DE","66123","0.6"
"cd510d1d-cf54-4529-bc7c-7b1dc41a7c09,G�ttingstra�e, 38106 Braunschweig, Germany","52.27448","10.53491","","Gottingstrasse","Braunschweig","DE","","0.3"
"9ffa742e-b7ae-4f98-a36d-be9b212b6d72,Tuckermannstr. 19, 38118 Braunschweig, Germany","52.264","10.50181","19","Tuckermannstraße","Braunschweig","DE, DE","38118","0.5"
"f3a903b6-4c46-4535-983b-1b45ec625723,Albrecht-D�rer-Stra�e 1, 82008 Unterhaching, Germany","48.06519","11.61424","3","Albrecht-Durer-Strasse","Unterhaching","DE, DE","82008","0.8"
"3ece5840-78b0-4100-ba9b-8a2a610457bd,Gladbecker Stra�e 231, 46240 Bottrop, Germany","51.54278","6.93405","231","Gladbecker Strasse","Bottrop","DE, DE","46240","0.6"
"e67ea232-4c33-45a1-b45d-50b21dece679,Steinmarner Stra�e 82-84, 27476 Cuxhaven, Germany","53.88563","8.66219","91","Steinmarner Strasse","Cuxhaven","DE, DE","27476","0.6"
"4277ca56-1f5b-4563-adfc-25c5794ae896,Gutenbergstrasse 5, 07743 Jena, Germany","50.92228","11.59376","","","Jena","DE","","0.0666666666666667"
"ab5f987a-016d-4dbe-8652-17893a20c09a,Via Nova 80, 7017 Flims-Dorf, Germany","51.42551","7.23236","","","Dorf","DE","","0.0666666666666667"
"48cefb0f-0d68-47bb-9c36-354e617b00cc,Mathildenstr 5, 80336 M�nchen, Germany","48.14080","11.63660","","München","München","DE","81929","0.25"
"91c7a4d7-62ab-4e5f-be84-74a677260dc2,Kohlenmarkt 1, 93047 Regensburg, Germany","49.01980","12.09493","","Kohlenmarkt","Regensburg","DE","93047","0.3"
"ab3669b1-2675-4c0e-831e-8ad15901660e,Schwabenstr. 6, 78628 Rottweil, Germany","48.16785","8.68774","1","Schwabenstraße","Rottweil","DE, DE","","0.4"
"a60df41d-bed9-4979-b018-70fbc49feb85,Osteinstr. 1, 55118 Mainz Neustadt, Germany","49.34624","8.17637","","Neustadt Demeta","Neustadt","DE","","0.2"
"747b7123-3a81-47fa-8b77-223563284bba,Nordh�user Stra�e 44, 99706 Sondershausen, Germany","51.37525","10.85838","49","Nordhäuser Strasse","Sondershausen","DE","99706","0.7"
"82fdb967-7ad5-4798-b704-124afe10f192,Vierlandenstr. 15, 21029 Hamburg, Germany","53.48749","10.21088","15","Vierlandenstraße","Hamburg","DE, DE","21029","0.4"
"7396f880-9b97-4ea6-ac4a-f8572ac85ed0,Marktplatz 3, 85072 Eichst�tt, Germany","48.89252","11.18347","3","Marktplatz","Eichstätt","DE, DE","85072","0.6"
"0d385e98-4ac7-4303-a995-8760032d2e7a,Burgkmairstr.38, 80686 M�nchen, Germany","48.14080","11.63660","","München","München","DE","81929","0.25"
"22e98ea4-d45e-4b09-97eb-e39226b93b27,Torstra�e 114, 10119 Berlin, Germany","52.52954","13.40257","114","TORSTRASSE","Berlin","DE","10119","0.5"
"12406763-a3da-4f97-8330-7b67f8763e5d,Rheinstr. 14, 26382 Wilhelmshaven, Germany","53.5161","8.1344","14","Rheinstraße","Wilhelmshaven","DE, DE","26382","0.4"
"d07da162-6331-4774-9e22-a0a946a09110,Dessauerstr.24, 45886 Gelsenkirchen, Germany","51.50249","7.10886","24","Dessauerstraße","Gelsenkirchen","DE, DE","45886","0.6"
"b678c41e-a9b8-44d3-802b-8148c0e06fa7,Quellenstrasse 33, 66121 Saarbr�cken, Germany","49.23002","7.02881","33","Quellenstrasse","Saarbrücken","DE","66121","0.7"
"2260b052-04f9-4801-b36f-32ec17f13e6a,Am Rehmenfeld 82, 27404 Zeven, Germany","53.29471","9.25804","63","Am Rehmenfeld","Zeven","DE, DE","27404","0.6"
"4e3805f0-632d-4baa-af35-efafc7886ea9,Einsteinstra�e 28, 81675 M�nchen, Germany","48.10871","11.44887","4","Einsteinstrasse","München","DE, DE","","0.6"
"b45119f4-a497-4a8e-8982-29f99b885a85,Reitzendorfer Str. 51, 01324 Dresden, Germany","51.05212","13.86675","","Reitzendorfer Strasse","Dresden","DE","1324","0.35"
"f8b0bdba-3eef-4110-81ac-b397d91a5838,Hansaallee 321, 40549 D�sseldorf, Germany","51.24129","6.72631","320","Hansaallee","Düsseldorf","DE, DE","40547","0.6"
"0e0c29db-e6b6-4c57-887f-b2404cb4ab92,Altenberg-Dom-Str. 115, 51467 Bergisch Gladbach, Germany","51.01419","7.0792","115","Altenberger-Dom-Straße","Bergisch Gladbach","DE, DE","51467","0.5"
